监测时间,水质类别,水温（℃）,pH(无量纲),溶氧量(mg/L),电导率（μS/cm）,浊度（NTU）,高锰酸盐指数（mg/L）,氨氮（mg/L）,总磷（mg/L）,总氮（mg/L）,站点情况,id
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,14.9,8.42,10.72,37459.5,21.5,2.47,0.759,0.033,1.3,正常,29
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,16,7.83,8.12,33905.1,133.6,8.86,0.685,0.193,1.15,正常,30
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,14.1,8.38,11.33,1783.6,15.6,8.07,0.025,0.098,4.81,正常,31
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,13.6,8.67,9.78,15880.5,33.7,8.43,0.184,0.137,2.34,正常,32
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,14.9,8.79,14.18,1876.2,15.6,6.53,0.044,0.073,4.86,正常,33
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.8,8.38,10.66,551.9,2.2,4.36,0.032,0.015,0.99,正常,34
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.6,8.24,8.84,515.2,4.3,2.67,0.025,0.015,1.17,正常,35
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.3,8.62,11.37,704.9,4.9,2.24,0.025,0.024,8.92,正常,36
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.6,8.25,12.82,828.8,12.7,2.28,0.025,0.03,10.58,正常,37
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,16.7,8.75,12.22,750.9,1.4,6.15,0.025,0.021,,维护,38
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.1,8.92,18.96,515,5.6,3.37,0.025,0.03,1.24,正常,39
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.6,8.48,24.16,621.6,30.1,3.9,0.025,0.036,3.29,正常,40
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.7,7.9,8.7,1175.6,13.1,0.55,0.058,0.048,5.66,正常,41
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,19,8.28,11.98,961.2,27.4,1.04,0.025,0.013,6.99,正常,42
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,17,8.32,6.18,1382.8,21.2,6.95,0.104,0.132,7.71,正常,43
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,12,8.87,14.74,561.3,1.8,2.12,0.025,0.014,3.14,正常,44
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,17.5,9.01,15.2,768.5,9.5,4.94,0.047,0.077,1.3,正常,45
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,13.9,9.56,22.07,920.5,7.3,6.84,0.047,0.084,1.19,正常,46
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,12.5,8.17,10.95,497.5,5.5,1.74,0.059,0.029,2.92,正常,47
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.2,8.18,11.51,14148.2,1.8,2.6,0.025,0.025,0.77,正常,48
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,16.1,9.04,27.77,12107.5,4.6,8.13,0.125,0.044,2.87,正常,49
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,11.1,8.57,13.41,464.2,2.1,1.12,0.025,0.015,2.28,正常,50
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.1,8.44,11.79,776.8,3.8,2.94,0.049,0.014,1.62,正常,51
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.5,8.33,10.38,843.1,12.6,2.52,0.051,0.038,3.18,正常,52
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.8,8.52,10.01,1127.9,10.5,3.35,0.06,0.032,2.49,正常,53
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,17,7.97,12.58,762.3,11.3,5.12,0.025,0.033,3.34,正常,54
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,18.1,8.33,10.58,882.8,2.5,5.45,0.04,0.051,7.95,正常,55
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,19.3,7.69,10.42,1175.1,12.5,3.64,0.054,0.04,9.18,正常,56
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16.2,8.38,12.49,1121.8,15.3,4.23,0.037,0.028,1.9,正常,57
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,19.6,7.86,10.05,923.8,6.9,3.87,0.035,0.057,5.93,正常,58
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.5,8.75,14.59,1001.1,5.6,2.84,0.034,0.049,4.49,正常,59
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.5,7.83,9.17,987.5,11.1,3.02,0.073,0.034,3.86,正常,60
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,18.5,8.17,11.32,1052.7,13.2,4.6,0.034,0.068,4.27,正常,61
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17,7.66,9.62,1209.1,38.7,3.25,0.259,0.089,6.98,正常,62
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,19.8,8.69,16,1229.7,13.3,4.97,0.108,0.125,7.05,正常,63
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),,17.6,8.98,,1151.7,1.7,4.73,0.044,0.048,6.08,维护,64
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.1,8.32,10.76,417.8,6.7,2.3,0.025,0.005,1.17,正常,65
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16.3,8.1,9.64,880.9,24.8,4.85,0.419,0.076,5.09,正常,66
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,10.7,8.29,11.92,437.4,2.9,2.27,0.025,0.005,1.3,正常,67
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,13.8,8.11,10.38,500.8,16.3,1.29,0.025,0.005,4.62,正常,68
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,15.4,7.97,9.46,592.8,3.3,1.11,0.025,0.005,5.27,正常,69
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.9,8.48,13.67,595.6,8.1,2.7,0.025,0.005,3.84,正常,70
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.1,8.29,7.25,547.3,21,0.95,0.025,0.005,11.26,正常,71
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),,16.2,8.1,9.31,1073.9,13.3,,0.087,0.056,0.98,维护,72
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,17.1,8.81,14,781.5,8.3,4,0.048,0.04,1.07,正常,73
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.4,8.52,15.61,868.9,3.9,3.33,0.047,0.052,1.52,正常,74
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,16.5,9.13,18.84,1568.5,5.4,5.15,0.044,0.062,1.19,正常,75
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,16.6,8.3,9.71,282.6,1.1,1.57,0.025,0.005,1.1,正常,76
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,14.2,8.67,13.9,,8.5,4.11,0.096,0.114,2,维护,77
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,15.1,8.05,9.61,288.3,5,1.62,0.025,0.005,1.13,正常,78
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,15.5,8.24,13.46,972.3,0.9,5.58,0.105,0.05,5.51,正常,79
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.7,8.83,9.87,1006.2,5.6,3.73,0.025,0.041,2.41,正常,80
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,14.2,8.46,12.28,2642.4,9.9,4.86,0.025,0.051,4.88,正常,81
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,14.5,9.03,16.35,26761.6,18.5,11.1,0.342,0.151,2.17,正常,82
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,14.9,8.42,10.72,37459.5,21.5,2.47,0.759,0.033,1.3,正常,83
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,16,7.83,8.12,33905.1,133.6,8.86,0.685,0.193,1.15,正常,84
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,14.1,8.38,11.33,1783.6,15.6,6.2,0.025,0.07,4.61,正常,85
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,13.6,8.67,9.78,15880.5,33.7,5.91,0.184,0.104,2.09,正常,86
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,14.9,8.79,14.18,1876.2,15.6,6.53,0.057,0.069,4.73,正常,87
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.8,8.38,10.66,551.9,2.2,4.36,0.032,0.015,0.99,正常,88
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.6,8.24,8.84,515.2,4.3,2.67,0.025,0.015,1.17,正常,89
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.3,8.62,11.37,704.9,4.9,1.76,0.025,0.024,8.5,正常,90
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.6,8.25,12.82,828.8,12.7,2.47,0.025,0.029,10.18,正常,91
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,16.7,8.75,12.22,750.9,1.4,6.15,0.025,0.021,,维护,92
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.1,8.92,18.96,515,5.6,3.35,0.025,0.029,0.96,正常,93
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.6,8.48,24.16,621.6,30.1,3.9,0.025,0.036,3.29,正常,94
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.7,7.9,8.7,1175.6,13.1,0.55,0.058,0.048,5.66,正常,95
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,19,8.28,11.98,961.2,27.4,0.99,0.025,0.017,6.76,正常,96
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,17.4,8.61,10.83,317.7,2.6,1.32,0.025,0.007,1.32,正常,97
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,17,8.32,6.18,1382.8,21.2,6.95,0.259,0.139,7.44,正常,98
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,12,8.87,14.74,561.3,1.8,2.21,0.025,0.014,3.2,正常,99
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,17.5,9.01,15.2,768.5,9.5,4.78,0.044,0.069,1.24,正常,100
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,13.9,9.56,22.07,920.5,7.3,6.21,0.05,0.061,1.1,正常,101
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,12.5,8.17,10.95,497.5,5.5,1.57,0.059,0.029,2.83,正常,102
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.2,8.18,11.51,14148.2,1.8,2.6,0.025,0.024,0.85,正常,103
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,16.1,9.04,27.77,12107.5,4.6,8.26,0.115,0.039,2.85,正常,104
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,11.1,8.57,13.41,464.2,2.1,1.72,0.025,0.011,2.25,正常,105
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.1,8.44,11.79,776.8,3.8,2.94,0.049,0.014,1.62,正常,106
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.6,8.04,10.68,982.2,19.9,2.58,0.245,0.076,1.97,正常,107
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,13.7,9.24,14.51,2537.1,6.1,5.12,0.039,0.046,3.72,正常,108
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,14.3,8.96,18.61,1999.3,13.3,5.84,0.025,0.075,2.64,正常,109
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,18.3,6.29,5.91,44865.4,6.7,5.29,0.499,0.005,1.7,正常,110
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,17,8.32,9.34,587.7,31.2,1.06,0.025,0.026,4.9,正常,111
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,16.9,8.66,10.52,538.1,2.1,0.75,0.025,0.005,4.72,正常,112
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,19.7,8.8,10.31,547.7,59.3,2.66,0.025,0.091,2.15,正常,113
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,19.4,8.58,8.4,880.8,71.6,6.19,0.445,0.112,5.71,正常,114
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,19.4,8.64,8.61,916.3,24,3.01,0.216,0.105,8.44,正常,115
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18.2,8.22,9.73,758.9,15.8,2.84,0.032,0.022,4.41,正常,116
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,20,8.5,15.13,1117.2,12.6,4.3,0.034,0.038,7.04,正常,117
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.4,8.75,10.9,670.4,6.8,2.37,0.025,0.02,6.77,正常,118
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,18,8.22,9.79,583.9,11.1,1.09,0.025,0.02,5.83,正常,119
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,16.6,8.19,9.28,491.4,12.8,1.03,0.025,0.019,3.79,正常,120
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.5,8.57,8.82,1214.8,76.1,3.48,0.025,0.064,5.09,正常,121
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,15.3,8.55,10.32,1297.9,49.3,4.2,0.135,0.073,2.39,正常,122
,,,,,,,,,,,不具备运行条件,123
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.1,8.39,10.87,718.6,2,1.36,0.025,0.018,2.84,正常,124
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,14.1,8.32,7.72,432.6,6.9,1.28,0.025,0.005,2.08,正常,125
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,12.6,8.34,9.14,417.8,59.6,3.82,0.025,0.064,3.17,正常,126
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,14.4,8.56,9.65,923.2,2.3,0.98,0.025,0.005,1.77,正常,127
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.5,8.35,10.61,713.2,19.8,3.19,0.025,0.042,4.4,正常,128
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.9,8.53,10.76,1367.7,2.5,1.31,0.025,0.018,2.4,正常,129
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,12.8,8.34,8.68,331.8,64.2,4.51,0.034,0.05,2.16,正常,130
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.6,8.27,9.92,625.7,19.4,3.57,0.081,0.059,4.62,正常,131
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,15.6,8.48,9.43,850.3,30.8,1.65,0.025,0.052,7.31,正常,132
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,12.4,8.11,12.94,691.1,2.6,1.01,0.025,0.005,6.25,正常,133
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.8,8.32,7.14,692.5,4,2.9,0.039,0.028,4.97,正常,134
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16,8.3,8.76,719.8,10.6,2.07,0.025,0.032,3.75,正常,135
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,13.2,7.94,8.92,568.2,6.6,2,0.025,0.023,6.85,正常,136
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,15.2,9,12.5,2873.9,21.8,6.12,0.025,0.052,1.03,正常,137
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,16,8.74,15.68,,22.2,6.76,0.025,0.1,0.91,维护,138
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,13.4,7.82,10.31,40097.4,102.4,3.8,1.329,0.051,2,正常,139
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,15.9,8.46,10.73,2030.7,38.3,5.25,0.059,0.058,0.85,正常,140
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,14.7,8.81,14.7,2481.3,22.3,4.16,0.025,0.045,2.78,正常,141
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,16.1,9.53,28.72,1039.6,12.1,4.93,0.042,0.032,0.91,正常,142
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16.6,8.43,12.92,1066.7,5.5,4.92,0.074,0.07,6.58,正常,143
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16.6,8.37,10.73,958.2,5.2,4.31,0.098,0.079,6.91,正常,144
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.7,7.89,8.85,966,10.3,3.39,0.207,0.037,2.24,正常,145
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16.2,8.89,18.12,883,9.3,3.97,0.034,0.053,5.4,正常,146
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.5,8.87,21.68,985.7,1.3,4.74,0.079,0.051,3.05,正常,147
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,18.4,9.07,16.45,1234.6,8.8,4.61,0.025,0.044,2.49,正常,148
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,18.7,8.69,8.31,1399.5,33.2,5.04,0.025,0.025,0.61,正常,149
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),劣Ⅴ,17.5,9.19,9.92,339.9,3.7,1.48,0.025,0.009,1.72,正常,150
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,17.7,7.99,10.11,810.3,3.2,3.83,0.046,0.031,3.42,正常,151
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.7,8.24,10.66,650.9,2.5,3.61,0.025,0.024,7.76,正常,152
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16.9,8.33,10.96,1057.3,2.2,4.02,0.085,0.017,0.7,正常,153
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,16.4,8.76,15.24,982.6,5.6,3.7,0.025,0.024,0.89,正常,154
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.4,7.97,9.78,802.9,1.4,3.82,0.025,0.021,1.86,正常,155
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,19,8.27,13.85,1246,21.5,3.72,0.178,0.099,5.18,正常,156
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅰ,9.7,8.44,11.1,817.9,8.1,1.68,0.025,0.005,2.69,正常,157
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,17.5,8.77,13.81,974.1,42.8,5.6,0.027,0.112,6.38,正常,158
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,14.2,8.38,10.93,585.7,13.2,1.55,0.126,0.12,6.87,正常,159
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,11.6,8.49,9.33,1201.8,10,3.44,0.222,0.033,2.64,正常,160
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,13.8,8.38,9.42,803.1,79.1,1.56,0.025,0.092,6.99,正常,161
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,17.8,8.27,10.09,1137.9,12.2,3.96,0.025,0.055,0.77,正常,162
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,17.2,8.18,12.71,1921.7,27.1,4.7,0.025,0.084,1.03,正常,163
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.6,8,9.22,534.8,22.9,2.29,0.025,0.029,3.65,正常,164
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅳ,18,7.9,7.54,2350,2.8,4.16,0.164,0.119,4.57,正常,165
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,17.9,8.27,8.91,686.6,16.5,1.77,0.025,0.026,4.54,正常,166
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,16,8.42,22.61,754.5,35.2,4.65,0.025,0.045,2.95,正常,167
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅱ,9,7.84,10.08,710.6,3,2.5,0.171,0.02,1.15,正常,168
Thu Apr 11 2024 00:00:00 GMT+0800 (GMT+08:00),Ⅲ,17.8,8.13,9.59,1057.9,67.1,4.51,0.081,0.118,5.67,正常,169
